Secció censal/Sección censal/Census section,Districte/Distrito/District,Municipi/Municipio/Municipality,Data/Fecha/Date,Ús/Uso/Use,Nombre de comptadors/Número de contadores/Number of meters,Consum acumulat (L/dia)/Consumo acumulado (L/día)/Accumulated consumption (L/day)
0807702006,02,L'HOSPITALET LLOBR.,2023-01-12,Domèstic/Doméstico/Domestic,67,194
0807702006,02,L'HOSPITALET LLOBR.,2023-01-13,Domèstic/Doméstico/Domestic,67,191
0807702006,02,L'HOSPITALET LLOBR.,2023-01-14,Domèstic/Doméstico/Domestic,67,222
0807702006,02,L'HOSPITALET LLOBR.,2023-01-15,Domèstic/Doméstico/Domestic,67,236
0807702006,02,L'HOSPITALET LLOBR.,2023-01-16,Domèstic/Doméstico/Domestic,67,198
0807702006,02,L'HOSPITALET LLOBR.,2023-01-17,Domèstic/Doméstico/Domestic,67,190
0807702006,02,L'HOSPITALET LLOBR.,2023-01-18,Domèstic/Doméstico/Domestic,67,183
0807702006,02,L'HOSPITALET LLOBR.,2023-01-19,Domèstic/Doméstico/Domestic,67,201
0807702006,02,L'HOSPITALET LLOBR.,2023-01-20,Domèstic/Doméstico/Domestic,67,188
0807702006,02,L'HOSPITALET LLOBR.,2023-01-21,Domèstic/Doméstico/Domestic,67,214
0807702006,02,L'HOSPITALET LLOBR.,2023-01-22,Domèstic/Doméstico/Domestic,67,242
0807702006,02,L'HOSPITALET LLOBR.,2023-01-23,Domèstic/Doméstico/Domestic,67,197
0807702006,02,L'HOSPITALET LLOBR.,2023-01-24,Domèstic/Doméstico/Domestic,67,200
0807702006,02,L'HOSPITALET LLOBR.,2023-01-25,Domèstic/Doméstico/Domestic,67,192
0807702006,02,L'HOSPITALET LLOBR.,2023-01-26,Domèstic/Doméstico/Domestic,67,205
0807702006,02,L'HOSPITALET LLOBR.,2023-01-27,Domèstic/Doméstico/Domestic,67,194
0807702006,02,L'HOSPITALET LLOBR.,2023-01-28,Domèstic/Doméstico/Domestic,67,225
0807702006,02,L'HOSPITALET LLOBR.,2023-01-29,Domèstic/Doméstico/Domestic,67,229
0807702006,02,L'HOSPITALET LLOBR.,2023-01-30,Domèstic/Doméstico/Domestic,67,204
0807702006,02,L'HOSPITALET LLOBR.,2023-01-31,Domèstic/Doméstico/Domestic,67,211
0807710003,10,L'HOSPITALET LLOBR.,2023-01-01,Comercial/Comercial/Commercial,1,8
0807710003,10,L'HOSPITALET LLOBR.,2023-01-01,Domèstic/Doméstico/Domestic,37,504
0807710003,10,L'HOSPITALET LLOBR.,2023-01-02,Comercial/Comercial/Commercial,1,0
0807710003,10,L'HOSPITALET LLOBR.,2023-01-02,Domèstic/Doméstico/Domestic,37,482
0807710003,10,L'HOSPITALET LLOBR.,2023-01-03,Comercial/Comercial/Commercial,1,0
0807710003,10,L'HOSPITALET LLOBR.,2023-01-03,Domèstic/Doméstico/Domestic,37,497
0807710003,10,L'HOSPITALET LLOBR.,2023-01-04,Comercial/Comercial/Commercial,1,0
0807710003,10,L'HOSPITALET LLOBR.,2023-01-04,Domèstic/Doméstico/Domestic,37,445
0807710003,10,L'HOSPITALET LLOBR.,2023-01-05,Comercial/Comercial/Commercial,1,0
0807710003,10,L'HOSPITALET LLOBR.,2023-01-05,Domèstic/Doméstico/Domestic,37,483
0807710003,10,L'HOSPITALET LLOBR.,2023-01-06,Comercial/Comercial/Commercial,1,5
0807710003,10,L'HOSPITALET LLOBR.,2023-01-06,Domèstic/Doméstico/Domestic,37,476
0807710003,10,L'HOSPITALET LLOBR.,2023-01-07,Comercial/Comercial/Commercial,1,0
0807710003,10,L'HOSPITALET LLOBR.,2023-01-07,Domèstic/Doméstico/Domestic,37,476
0807710003,10,L'HOSPITALET LLOBR.,2023-01-08,Comercial/Comercial/Commercial,1,0
0807710003,10,L'HOSPITALET LLOBR.,2023-01-08,Domèstic/Doméstico/Domestic,37,441
0807710003,10,L'HOSPITALET LLOBR.,2023-01-09,Comercial/Comercial/Commercial,1,0
0807710003,10,L'HOSPITALET LLOBR.,2023-01-09,Domèstic/Doméstico/Domestic,37,498
0807710003,10,L'HOSPITALET LLOBR.,2023-01-10,Comercial/Comercial/Commercial,1,0
0807710003,10,L'HOSPITALET LLOBR.,2023-01-10,Domèstic/Doméstico/Domestic,37,526
0807710003,10,L'HOSPITALET LLOBR.,2023-01-11,Comercial/Comercial/Commercial,1,10
0807710003,10,L'HOSPITALET LLOBR.,2023-01-11,Domèstic/Doméstico/Domestic,37,444
0807710003,10,L'HOSPITALET LLOBR.,2023-01-12,Comercial/Comercial/Commercial,1,0
0807710003,10,L'HOSPITALET LLOBR.,2023-01-12,Domèstic/Doméstico/Domestic,37,462
0807710003,10,L'HOSPITALET LLOBR.,2023-01-13,Comercial/Comercial/Commercial,1,0
0807710003,10,L'HOSPITALET LLOBR.,2023-01-13,Domèstic/Doméstico/Domestic,37,524
0807710003,10,L'HOSPITALET LLOBR.,2023-01-14,Comercial/Comercial/Commercial,1,4
0807710003,10,L'HOSPITALET LLOBR.,2023-01-14,Domèstic/Doméstico/Domestic,37,433
0807710003,10,L'HOSPITALET LLOBR.,2023-01-15,Comercial/Comercial/Commercial,1,3
0807710003,10,L'HOSPITALET LLOBR.,2023-01-15,Domèstic/Doméstico/Domestic,37,520
0807710003,10,L'HOSPITALET LLOBR.,2023-01-16,Comercial/Comercial/Commercial,1,0
0807710003,10,L'HOSPITALET LLOBR.,2023-01-16,Domèstic/Doméstico/Domestic,37,473
0807710003,10,L'HOSPITALET LLOBR.,2023-01-17,Comercial/Comercial/Commercial,1,10
0807710003,10,L'HOSPITALET LLOBR.,2023-01-17,Domèstic/Doméstico/Domestic,37,495
0807710003,10,L'HOSPITALET LLOBR.,2023-01-18,Comercial/Comercial/Commercial,1,0
0807710003,10,L'HOSPITALET LLOBR.,2023-01-18,Domèstic/Doméstico/Domestic,37,497
0807710003,10,L'HOSPITALET LLOBR.,2023-01-19,Comercial/Comercial/Commercial,1,44
0807710003,10,L'HOSPITALET LLOBR.,2023-01-19,Domèstic/Doméstico/Domestic,37,469
0807710003,10,L'HOSPITALET LLOBR.,2023-01-20,Comercial/Comercial/Commercial,1,0
0807710003,10,L'HOSPITALET LLOBR.,2023-01-20,Domèstic/Doméstico/Domestic,37,505
0807710003,10,L'HOSPITALET LLOBR.,2023-01-21,Comercial/Comercial/Commercial,1,0
0807710003,10,L'HOSPITALET LLOBR.,2023-01-21,Domèstic/Doméstico/Domestic,37,431
0807710003,10,L'HOSPITALET LLOBR.,2023-01-22,Comercial/Comercial/Commercial,1,0
0807710003,10,L'HOSPITALET LLOBR.,2023-01-22,Domèstic/Doméstico/Domestic,37,491
0807710003,10,L'HOSPITALET LLOBR.,2023-01-23,Comercial/Comercial/Commercial,1,0
0807710003,10,L'HOSPITALET LLOBR.,2023-01-23,Domèstic/Doméstico/Domestic,37,456
0807710003,10,L'HOSPITALET LLOBR.,2023-01-24,Comercial/Comercial/Commercial,1,0
0807710003,10,L'HOSPITALET LLOBR.,2023-01-24,Domèstic/Doméstico/Domestic,37,425
0807710003,10,L'HOSPITALET LLOBR.,2023-01-25,Comercial/Comercial/Commercial,1,0
0807710003,10,L'HOSPITALET LLOBR.,2023-01-25,Domèstic/Doméstico/Domestic,37,456
0807710003,10,L'HOSPITALET LLOBR.,2023-01-26,Comercial/Comercial/Commercial,1,0
0807710003,10,L'HOSPITALET LLOBR.,2023-01-26,Domèstic/Doméstico/Domestic,37,475
0807710003,10,L'HOSPITALET LLOBR.,2023-01-27,Comercial/Comercial/Commercial,1,0
0807710003,10,L'HOSPITALET LLOBR.,2023-01-27,Domèstic/Doméstico/Domestic,37,492
0807710003,10,L'HOSPITALET LLOBR.,2023-01-28,Comercial/Comercial/Commercial,1,0
0807710003,10,L'HOSPITALET LLOBR.,2023-01-28,Domèstic/Doméstico/Domestic,37,495
0807710003,10,L'HOSPITALET LLOBR.,2023-01-29,Comercial/Comercial/Commercial,1,0
0807710003,10,L'HOSPITALET LLOBR.,2023-01-29,Domèstic/Doméstico/Domestic,37,485
